Pair: CRC and EQNR, Profit: 9421.393089484984
Pair: ASB and EMN, Profit: 496.1695479285927
Pair: CMI and URI, Profit: 494.85965279622167
Pair: EXPD and WOR, Profit: 492.85846195032275
Pair: BHF and IBTX, Profit: 491.54966123852364
Pair: MTX and MTW, Profit: 490.2700098105526
Pair: AEIS and ENTG, Profit: 479.8047413015872
Pair: PB and RBB, Profit: 475.9104560151135
Pair: CSGP and MA, Profit: 470.4099811771419
Pair: GOGL and SBLK, Profit: 460.5688605203912
Pair: AROC and RVT, Profit: 457.2598211213944
Pair: CNO and FNB, Profit: 452.5719540894047
Pair: NTRS and SWK, Profit: 445.4424139399895
Pair: PCAR and SF, Profit: 432.1777858304179
Pair: BWA and DAN, Profit: 428.685570688324
Pair: AMAT and FORM, Profit: 428.6399633668691
Pair: DVN and E, Profit: 420.75469454484744
Pair: GGG and PRLB, Profit: 418.0192926924111
Pair: NPO and SWK, Profit: 417.042720603067
Pair: AMAT and NVMI, Profit: 416.1312355241045
Pair: FISI and WABC, Profit: 416.0955753297425
Pair: AEIS and UCTT, Profit: 416.0353102859485
Pair: FORM and LRCX, Profit: 409.9822194504924
Pair: FUL and STLD, Profit: 409.95939447984046
Pair: PH and TTC, Profit: 409.77983795833705
Pair: MTX and UNM, Profit: 403.75418043285896
Pair: FCX and TECK, Profit: 398.46514493185316
Pair: CMI and OSK, Profit: 389.1073308718288
Pair: ACLS and NXPI, Profit: 387.6084986899933
Pair: AMG and EVR, Profit: 385.90078172565865
Pair: LECO and ODFL, Profit: 385.56744323476465
Pair: CBSH and MSM, Profit: 383.5747623144978
Pair: BMO and FLS, Profit: 375.7312260098994
Pair: MTX and RNST, Profit: 374.06953815580636
Pair: ARW and NXPI, Profit: 365.9370204974658
Pair: LYB and MT, Profit: 365.8874008892037
Pair: BAC and URI, Profit: 364.5241660306167
Pair: AEG and BHF, Profit: 363.2127709580626
Pair: PYPL and RPD, Profit: 361.17125037114346
Pair: APAM and ETN, Profit: 357.9325812100367
Pair: BTO and WABC, Profit: 356.56964042306686
Pair: ASB and TMP, Profit: 354.6422369691137
Pair: HWC and MTX, Profit: 350.94219311541343
Pair: UPS and VMI, Profit: 347.75910127467927
Pair: BANF and BY, Profit: 347.365286817669
Pair: KMT and MTW, Profit: 344.6225686061539
Pair: PII and TKR, Profit: 342.80702255468043
Pair: DE and KMT, Profit: 340.9697652051502
Pair: LFUS and NTRS, Profit: 338.3042012155467
Pair: NDSN and NTRS, Profit: 333.75488600937723
Pair: DFS and GS, Profit: 333.00087441466883
Pair: DVN and TTP, Profit: 329.04076537188223
Pair: LYB and TXT, Profit: 328.65388162171115
Pair: KMT and WLK, Profit: 327.9762602454146
Pair: COHR and KLAC, Profit: 325.3926398622502
Pair: C and URI, Profit: 323.1000881879257
Pair: FNB and PPBI, Profit: 319.09961489037727
Pair: MTW and NUE, Profit: 318.9278406490433
Pair: EMN and HWC, Profit: 316.0946053375659
Pair: CHN and JD, Profit: 307.59269407531355
Pair: SWK and VOYA, Profit: 301.9422374774469
Pair: BAC and HOG, Profit: 282.8534676272768
Pair: ICHR and ON, Profit: 267.32309618729806
Pair: JPM and SWK, Profit: 248.51575991333257
Pair: LBRT and OIS, Profit: 245.4691404198229
Pair: CPF and RF, Profit: 244.49363067254592
Pair: HBAN and LAZ, Profit: 243.94978476712532
Pair: GAM and TROW, Profit: 229.84242557707026
Pair: HRI and SF, Profit: 227.200254945135
Pair: CMI and MAN, Profit: 220.74250934954932
Pair: AMAT and NXPI, Profit: 220.63237345119748
Pair: UNM and URI, Profit: 216.09732100353278
Pair: ET and KYN, Profit: 212.194054955047
Pair: PEBO and RBB, Profit: 211.97145170060315
Pair: AEIS and NVMI, Profit: 209.94388714101171
Pair: EXK and IAG, Profit: 208.78551133458495
Pair: MU and WDC, Profit: 207.71532899668586
Pair: BANC and ONB, Profit: 201.24458497757425
Pair: TWLO and VEEV, Profit: 201.22461972772163
Pair: ETN and LFUS, Profit: 197.75618860528115
Pair: CFG and UVSP, Profit: 195.625766438193
Pair: CCNE and LKFN, Profit: 194.4800003078814
Pair: AEM and PAAS, Profit: 186.18814579132672
Pair: ASA and MUX, Profit: 182.36760704066322
Pair: DCI and MATX, Profit: 180.82473044965263
Pair: EVR and HRI, Profit: 180.44609139191857
Pair: BSRR and CFG, Profit: 179.9963764987385
Pair: EFSC and WAL, Profit: 178.01238123027653
Pair: AEIS and AMAT, Profit: 175.49329984931842
Pair: NXPI and TSM, Profit: 172.98114308495664
Pair: DIOD and TXN, Profit: 165.42214391466192
Pair: AME and PII, Profit: 164.01082551422758
Pair: NPO and WOR, Profit: 162.11429854452228
Pair: CRS and LECO, Profit: 157.57859918460804
Pair: BMRC and NBTB, Profit: 156.41130422558814
Pair: NEM and NG, Profit: 152.39347753189898
Pair: AG and SSRM, Profit: 148.7635196691748
Pair: SD and SLB, Profit: 148.41407694747477
Pair: CSQ and MGM, Profit: 140.35330705910678
Pair: C and SWK, Profit: 134.7649293990243
Pair: NBHC and WTFC, Profit: 132.87512779870247
Pair: BY and WABC, Profit: 127.70659231520102
Pair: BHF and BMO, Profit: 113.13420939804706
Pair: EMN and UNM, Profit: 110.50404106888166
Pair: CNO and EMN, Profit: 107.87328641407396
Pair: ASB and URI, Profit: 85.97527339977307
Pair: CMC and MTX, Profit: 75.23596635198464
Pair: HBNC and WABC, Profit: 65.24295805150848
Pair: MTX and PCAR, Profit: 64.28891206414869
Pair: FFBC and URI, Profit: 56.90687485566758
Pair: IBOC and URI, Profit: 52.93213303980332
Pair: CNO and WASH, Profit: 48.91797401991147
Pair: FBNC and MTX, Profit: 45.79520237739729
Pair: NXPI and OSK, Profit: 45.20389399332899
Pair: ITW and LFUS, Profit: 42.70456679506965
Pair: BANC and HOPE, Profit: 37.13191313548458
Pair: KGC and NEM, Profit: 31.23338782790387
Pair: CRS and MTX, Profit: 30.4645013434274
Pair: AMAT and MRVL, Profit: 29.666300950337586
Pair: PRU and URI, Profit: 21.57433960947253
Pair: CSIQ and DQ, Profit: 21.11017503976268
Pair: URI and WTS, Profit: 20.448350860925927
Pair: NDSN and PKG, Profit: 18.17991309095129
Pair: HRI and RMT, Profit: 11.943637565984886
Pair: CPF and HOMB, Profit: 8.936415819764079
Pair: CAT and HEES, Profit: 4.5996368328973745
Pair: AX and HWC, Profit: -0.3138120660145205
Pair: SMTC and SWKS, Profit: -1.5910066662369786
Pair: IPGP and NXPI, Profit: -1.9373738492785435
Pair: CRUS and LITE, Profit: -7.094277490040383
Pair: DCI and HRI, Profit: -9.675218742767356
Pair: EQH and RJF, Profit: -26.234477026775608
Pair: ENTG and MKSI, Profit: -31.36998370366689
Pair: ACLS and MKSI, Profit: -31.52140696583504
Pair: CRC and WTI, Profit: -37.21883610277473
Pair: AROC and NOG, Profit: -37.45006091030132
Pair: NXPI and SEIC, Profit: -40.60181399925358
Pair: RBC and XYL, Profit: -44.44774197806589
Pair: CR and WOR, Profit: -50.01497255688912
Pair: NOG and WTI, Profit: -57.540075026278885
Pair: BST and ETV, Profit: -70.47333726240417
Pair: FFWM and WABC, Profit: -89.14073391600067
Pair: POWI and TXN, Profit: -107.27851598287378
Pair: FISI and WAL, Profit: -115.33315415519479
Pair: AMD and NVDA, Profit: -136.87057019622227
Pair: LAZ and RVT, Profit: -141.13857072642367
Pair: URI and VSH, Profit: -145.49540405291538
Pair: TEAM and VEEV, Profit: -147.59499977041946
Pair: CBT and HWC, Profit: -148.3202962902352
Pair: CNO and HOPE, Profit: -152.70964647786343
Pair: CBU and CCNE, Profit: -174.3428359416115
Pair: AG and FNV, Profit: -179.66887607744482
Pair: MKSI and SWKS, Profit: -185.40985629873538
Pair: VBTX and WASH, Profit: -187.35786040397443
Pair: AU and FNV, Profit: -192.84490040503306
Pair: EMN and MTW, Profit: -208.5218738909333
Pair: EMR and TEX, Profit: -211.61314856830995
Pair: EXK and KGC, Profit: -225.52731597059605
Pair: ATH and HWC, Profit: -228.9469980764947
Pair: DCI and KAI, Profit: -236.56475808437307
Pair: NXPI and STX, Profit: -239.17086763993677
Pair: OKTA and ZS, Profit: -241.53990941870126
Pair: CAT and NVT, Profit: -241.95306926745795
Pair: EEFT and GPN, Profit: -247.3944556988502
Pair: CII and MGM, Profit: -249.15613059909202
Pair: CVBF and RBB, Profit: -252.24639934245062
Pair: AIT and NPO, Profit: -256.86755601236075
Pair: EMN and SLB, Profit: -259.17285452114515
Pair: BAC and CAT, Profit: -263.3645399946623
Pair: OCFC and PRU, Profit: -266.0180192939853
Pair: SBCF and URI, Profit: -275.5546715517763
Pair: TMP and WAL, Profit: -285.1787682111433
Pair: LNC and RY, Profit: -285.62814477665665
Pair: FIBK and URI, Profit: -289.4245425359902
Pair: MTW and TEX, Profit: -291.64147686208867
Pair: FULT and LSTR, Profit: -298.7614254519907
Pair: BGR and FANG, Profit: -301.47852900789525
Pair: HRI and RVT, Profit: -302.03719156189493
Pair: FULT and TBBK, Profit: -317.303216210349
Pair: BHF and PRU, Profit: -319.2967139157372
Pair: EXPD and TEX, Profit: -327.8028657005191
Pair: VEEV and WIX, Profit: -353.2290541528758
Pair: AMAT and STX, Profit: -355.78465757835556
Pair: AOD and HRI, Profit: -356.81864011932186
Pair: KALU and RHI, Profit: -359.6771606832339
Pair: ATH and BTO, Profit: -362.29894296067636
Pair: KEY and PGC, Profit: -364.01964851234203
Pair: BANF and CCNE, Profit: -364.90936736907065
Pair: WAL and WSFS, Profit: -371.46046323217524
Pair: MDB and RPD, Profit: -385.9110353663825
Pair: DVN and FI, Profit: -389.6907950298736
Pair: AEIS and ICHR, Profit: -397.0795774275389
Pair: ATH and CNO, Profit: -417.6173009256005
Pair: CR and NPO, Profit: -430.53328424030434
Pair: FNV and SSRM, Profit: -435.0567341523945
Pair: AOD and MGM, Profit: -435.8455353492224
Pair: QLYS and RPD, Profit: -436.2819070093624
Pair: AVGO and NXPI, Profit: -443.5717117667027
Pair: HLI and IBOC, Profit: -444.77259093478915
Pair: DIOD and TER, Profit: -460.6230941747415
Pair: ARW and DE, Profit: -469.2433537957526
Pair: COHR and ENTG, Profit: -472.8837027300525
Pair: GSBC and PRU, Profit: -473.2970302313076
Pair: OSK and SWK, Profit: -477.25836407431325
Pair: HWC and WCC, Profit: -488.2573679674258
Pair: FANG and PEO, Profit: -513.4969825781436
Pair: MOFG and WABC, Profit: -520.2966528028675
Pair: MTDR and NML, Profit: -529.769548078232
Pair: NXPI and TER, Profit: -534.2306829192344
Pair: FMNB and UBSI, Profit: -550.8777575920368
Pair: C and RGA, Profit: -566.9446376550072
Pair: AXL and TEX, Profit: -569.516862977152
Pair: ACLS and AEIS, Profit: -575.8751647986837
Pair: LFUS and VSH, Profit: -589.614020999839
Pair: OSK and URI, Profit: -598.1592584521017
Pair: PFG and WAFD, Profit: -600.4543285636407
Pair: ASA and SA, Profit: -604.8335347139557
Pair: TRST and WABC, Profit: -614.4758508694237
Pair: DAN and LEA, Profit: -617.7239381603672
Pair: CBT and TILE, Profit: -627.5962151572322
Pair: AVT and MTX, Profit: -632.8057457777264
Pair: COHR and MPWR, Profit: -638.0049059184701
Pair: FNV and IAG, Profit: -648.9126329951555
Pair: CFG and WOR, Profit: -649.8975253259437
Pair: CDNS and PYPL, Profit: -673.6265057280591
Pair: FUL and MTW, Profit: -674.9790467667642
Pair: TY and WOR, Profit: -695.1044476132524
Pair: AEIS and MRVL, Profit: -700.2677728164128
Pair: MTW and OSK, Profit: -708.9456254956833
Pair: B and URI, Profit: -713.907313471872
Pair: AX and SRCE, Profit: -728.2963029980493
Pair: NVMI and NXPI, Profit: -729.8641076814598
Pair: HWC and KMT, Profit: -741.51815951611
Pair: FNB and PGC, Profit: -743.446461094909
Pair: AG and IAG, Profit: -752.1628294186735
Pair: DE and SWK, Profit: -762.1833643526465
Pair: PH and SMTC, Profit: -769.483224956861
Pair: GPN and SHOP, Profit: -779.1791653074577
Pair: RMT and TDOC, Profit: -784.9328547608378
Pair: CRS and CSTM, Profit: -808.0433459438241
Pair: STM and TROW, Profit: -808.6315564959206
Pair: FORM and NXPI, Profit: -814.9703269301289
Pair: ETN and HRI, Profit: -816.3043769640033
Pair: EPAM and RPD, Profit: -819.5571347293677
Pair: HON and SWK, Profit: -831.1178959011636
Pair: VEEV and WDAY, Profit: -847.6669526762023
Pair: CRSP and NTLA, Profit: -850.8120715342942
Pair: MTX and UBSI, Profit: -861.553104118946
Pair: DE and WCC, Profit: -864.4038038495561
Pair: PLNT and TWLO, Profit: -866.1786339072471
Pair: PCTY and PEGA, Profit: -882.7651337075654
Pair: AEIS and FORM, Profit: -923.0059436768867
Pair: CLB and SLB, Profit: -924.6228109130931
Pair: GPOR and RIG, Profit: -933.1939410614646
Pair: CBSH and WOR, Profit: -935.0583399261999
Pair: JBL and NXPI, Profit: -935.971900051303
Pair: AZPN and VEEV, Profit: -943.0698269924155
Pair: KMT and RJF, Profit: -968.0995405605474
Pair: CR and SF, Profit: -978.9214297153005
Pair: TEO and YPF, Profit: -1013.9791928779564
Pair: PCTY and SHOP, Profit: -1022.2965794678798
Pair: CRC and VET, Profit: -1035.5712930234095
Pair: PB and URI, Profit: -1037.6780477353466
Pair: HRI and ITW, Profit: -1046.843912579266
Pair: AB and GDV, Profit: -1071.3938993490824
Pair: CR and EXPD, Profit: -1074.6293048028579
Pair: NXPI and POWI, Profit: -1094.887897234767
Pair: FNV and NG, Profit: -1098.373737865744
Pair: ATH and PPBI, Profit: -1101.0413047047123
Pair: CGNX and NXPI, Profit: -1119.7898045592808
Pair: AEM and IAG, Profit: -1132.1975755620242
Pair: CRM and EOS, Profit: -1146.1093959920872
Pair: HUBB and SWK, Profit: -1147.057378641422
Pair: DIOD and SWKS, Profit: -1165.1185068894022
Pair: AZPN and PCTY, Profit: -1205.7740130637294
Pair: MBWM and WABC, Profit: -1215.3720977510104
Pair: NOW and RPD, Profit: -1243.3630712805639
Pair: CC and MEOH, Profit: -1248.9002964617332
Pair: FBNC and URI, Profit: -1250.4108025018004
Pair: CDNS and EPAM, Profit: -1266.3799405933546
Pair: ASA and SVM, Profit: -1297.7686649631964
Pair: CRC and MUR, Profit: -1297.956384048074
Pair: BSBR and UGP, Profit: -1303.0353314612566
Pair: DIOD and NXPI, Profit: -1310.1408099834791
Pair: BMA and IRS, Profit: -1311.421993589791
Pair: MTW and RBC, Profit: -1357.4286211642807
Pair: MUR and NBR, Profit: -1374.3048367611914
Pair: AG and NEM, Profit: -1383.119973400263
Pair: NTRS and PH, Profit: -1388.0844445891132
Pair: EMR and MTW, Profit: -1412.861256028127
Pair: APA and CRC, Profit: -1483.6337015658044
Pair: AROC and BGR, Profit: -1492.7287236963396
Pair: ADP and PEGA, Profit: -1529.303470854471
Pair: AFG and LNC, Profit: -1541.7457575818103
Pair: CRC and SM, Profit: -1574.8417055625193
Pair: HP and NBR, Profit: -1617.8658181708042
Pair: MTW and PRU, Profit: -1626.3582358689637
Pair: GEL and TRGP, Profit: -1636.9494184219561
Pair: ALSN and HRI, Profit: -1655.536673764251
Pair: MTDR and NBR, Profit: -1660.8957978881826
Pair: TWLO and WDAY, Profit: -1667.8851910063368
Pair: KMT and XYL, Profit: -1724.9784408484848
Pair: CMC and ETN, Profit: -1743.3742962360247
Pair: HAL and NOV, Profit: -1755.7490817070232
Pair: ATH and FNB, Profit: -1780.9902124899972
Pair: MSBI and TBBK, Profit: -1835.7129096629824
Pair: SF and XYL, Profit: -1848.810081552511
Pair: GPN and VEEV, Profit: -1880.9008890987445
Pair: AVT and CRS, Profit: -1889.0570105578533
Pair: MTDR and PTEN, Profit: -1903.0070513697917
Pair: DIOD and NDSN, Profit: -1920.636673708221
Pair: BWA and MTW, Profit: -1941.4370409864714
Pair: CRM and EW, Profit: -1958.154249766748
Pair: OKTA and WIX, Profit: -2046.4412144096682
Pair: FUL and SBCF, Profit: -2057.943874647462
Pair: HUBS and QTWO, Profit: -2223.767414342177
Pair: CRC and TALO, Profit: -2265.191119726561
Pair: CBU and WAL, Profit: -2383.234124025022
Pair: APA and EQNR, Profit: -2383.9914390278045
Pair: AZPN and HUBS, Profit: -2394.340201680811
Pair: PEBO and WOR, Profit: -2396.6445989325366
Pair: GGG and MTW, Profit: -2400.940602243088
Pair: NOW and SMAR, Profit: -2561.4073847041627
Pair: PCTY and QTWO, Profit: -2609.0138297861786
Pair: RPD and VEEV, Profit: -2611.5804747878337
Pair: OIS and RRC, Profit: -2751.414978435608
Pair: DVN and NBR, Profit: -3304.0350447996298
Pair: HRI and WABC, Profit: -3475.7632586926757
Pair: MTDR and SU, Profit: -3596.9566961853207
Pair: GPOR and SM, Profit: -3754.753269629676
Pair: MTDR and NOV, Profit: -3994.7323723552013
Pair: PTEN and SD, Profit: -4023.069520764856
Pair: GPOR and MUR, Profit: -4205.257490167586
Pair: CEPU and YPF, Profit: -4272.904915008619
Pair: AG and NG, Profit: -4417.826242589802
Pair: RPD and TWLO, Profit: -4927.8140510745025
Pair: BGR and SM, Profit: -5042.786962987318
Pair: SD and SM, Profit: -6234.214332282083
Pair: AR and SM, Profit: -7286.640583804543
Pair: MARA and RIOT, Profit: -7452.645662741279
Pair: RIG and RRC, Profit: -7730.922384889848
Pair: MTDR and SD, Profit: -8049.326419965533
Pair: GPOR and NBR, Profit: -10363.43331975684
Pair: NOG and SM, Profit: -10553.503882804733
